model,pl,gl,cl,mqts,bs,cpl,configuration,precision,e2e_processed_tok_sec,prev_e2e_processed_tok_sec,e2e_processed_tok_sec_delta,tag,config_id,execution_mode,sdk_version,platform,tools,customer_id,model_url,input_size,model_framework,branch,customer,max_nsp,apps_version,platform_version,sdk_id,last_rel_sdk,jira_number,qpc_size_GB,compile_time,cores,curr_decode_tok_sec,curr_prefill_tok_sec,curr_total_tok_sec,curr_tpot_ms,curr_ttft_ms,decode_tok_sec_delta,dfs,host_app,instances,mos,ols,prefill_tok_sec_delta,prev_decode_tok_sec,prev_prefill_tok_sec,prev_total_tok_sec,prev_tpot_ms,prev_ttft_ms,tdp,total_tok_sec_delta,tpot_ms_delta,ttft_ms_delta,system_os,num_cards,status,failure_cause,is_regressed_decode,is_regressed_prefill,is_regressed_total,is_regressed_tpot,is_regressed_ttft,regression_code,avg_latency_sec,e2e_generated_tok_sec,prev_e2e_generated_tok_sec,prev_avg_latency_sec,e2e_generated_tok_sec_delta,avg_latency_sec_delta,is_regressed_e2e_processed_tok_sec,is_regressed_e2e_generated_tok_sec,is_regressed_avg_latency_sec,derated_ttft(sec),derated_decode_tpt(tok/sec),derated_e2e_tpt(tok/sec),execution_time,derated_decode_tpt_per_card(tok/sec),derated_e2e_tpt_per_card(tok/sec),total_token_throughput_tok_sec,mean_ttft_sec,prev_total_token_throughput_sec,prev_mean_ttft_sec,total_token_throughput_sec_delta,mean_ttft_sec_delta,is_regressed_total_token_throughput_sec,is_regressed_mean_ttft_sec,e2e_tok_sec,prev_e2e_tok_sec,e2e_tok_sec_delta,is_regressed_e2e,average_ttft(sec),prev_avg_ttft_sec,avg_ttft_sec_delta,is_regressed_avg_ttft_sec,request_throughput(req/s),output_token_throughput(tok/s),mean_tpot(ms),mean_itl(ms),prev_request_throughput_req_sec,prev_output_token_throughput_tok_sec,prev_mean_tpot_ms,prev_mean_itl_ms,is_regressed_request_throughput_req_sec,is_regressed_output_token_throughput_tok_sec,is_regressed_mean_tpot_ms,is_regressed_mean_itl_ms,request_throughput_req_sec_delta,output_token_throughput_tok_sec_delta,mean_tpot_ms_delta,mean_itl_ms_delta,median_dram_utilization_%,median_dram_bw_KBps,model_load_time(sec),prev_sdk_value,prev_sdk_branch
Jais-adapted-70B,128,128,256,8,8,128,P2P,mx6,88.09,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-70B-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,134814,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,66.29, 02:06:25,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:06:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.57,34214656.0,132.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-70B,128,128,256,8,16,128,P2P,mx6,125.2,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-70B-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,134817,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,58.58, 02:13:35,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:05:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.185,15060168.0,137.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-70B,128,128,256,8,32,128,P2P,mx6,198.37,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-70B-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,134820,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,58.62, 02:16:10,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:05:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.435,14322312.0,137.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-70B,2048,2048,4096,8,1,128,P2P,mx6,23.05,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-70B-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,134796,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,66.25, 02:10:17,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:44:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63,37886368.0,120.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-70B,2048,2048,4096,8,4,128,P2P,mx6,56.74,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-70B-onnx-precision-mx6-bs-4-mos-default-ols-default-inst-1-bs-4-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,134799,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,66.27, 02:10:53,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:20:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.395,24672792.0,116.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-70B,2048,2048,4096,8,8,128,P2P,mx6,126.83,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-70B-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,134802,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,66.3, 02:10:51,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:10:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.445,32732600.0,116.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-70B,2048,2048,4096,8,16,128,P2P,mx6,143.67,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-70B-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,134805,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,58.6, 02:17:11,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:09:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.884999999999998,27159640.0,114.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-70B,2048,2048,4096,8,32,128,P2P,mx6,214.25,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-70B-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,134808,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,58.68, 02:37:19,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:10:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.845,19254528.0,116.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-7b,128,128,256,4,1,128,P2P,mx6,74.86,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-7b-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,137040,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,8.87, 00:23:35,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:04:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,155184.0,20.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-7b,128,128,256,4,8,128,P2P,mx6,349.94,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-7b-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,137043,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,8.89, 00:26:41,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:01:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,155184.0,23.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
