model,pl,gl,cl,mqts,bs,cpl,configuration,precision,e2e_generated_tok_sec,prev_e2e_generated_tok_sec,e2e_generated_tok_sec_delta,e2e_processed_tok_sec,prev_e2e_processed_tok_sec,e2e_processed_tok_sec_delta,average_ttft(sec),prev_avg_ttft_sec,avg_ttft_sec_delta,tag,config_id,execution_mode,sdk_version,platform,tools,customer_id,model_url,input_size,model_framework,branch,customer,max_nsp,apps_version,platform_version,sdk_id,last_rel_sdk,jira_number,qpc_size_GB,compile_time,cores,curr_decode_tok_sec,curr_prefill_tok_sec,curr_total_tok_sec,curr_tpot_ms,curr_ttft_ms,decode_tok_sec_delta,dfs,host_app,instances,mos,ols,prefill_tok_sec_delta,prev_decode_tok_sec,prev_prefill_tok_sec,prev_total_tok_sec,prev_tpot_ms,prev_ttft_ms,tdp,total_tok_sec_delta,tpot_ms_delta,ttft_ms_delta,system_os,num_cards,status,failure_cause,is_regressed_decode,is_regressed_prefill,is_regressed_total,is_regressed_tpot,is_regressed_ttft,regression_code,avg_latency_sec,prev_avg_latency_sec,avg_latency_sec_delta,is_regressed_e2e_processed_tok_sec,is_regressed_e2e_generated_tok_sec,is_regressed_avg_latency_sec,derated_ttft(sec),derated_decode_tpt(tok/sec),derated_e2e_tpt(tok/sec),execution_time,derated_decode_tpt_per_card(tok/sec),derated_e2e_tpt_per_card(tok/sec),total_token_throughput_tok_sec,mean_ttft_sec,prev_total_token_throughput_sec,prev_mean_ttft_sec,total_token_throughput_sec_delta,mean_ttft_sec_delta,is_regressed_total_token_throughput_sec,is_regressed_mean_ttft_sec,e2e_tok_sec,prev_e2e_tok_sec,e2e_tok_sec_delta,is_regressed_e2e,is_regressed_avg_ttft_sec,request_throughput(req/s),output_token_throughput(tok/s),mean_tpot(ms),mean_itl(ms),prev_request_throughput_req_sec,prev_output_token_throughput_tok_sec,prev_mean_tpot_ms,prev_mean_itl_ms,is_regressed_request_throughput_req_sec,is_regressed_output_token_throughput_tok_sec,is_regressed_mean_tpot_ms,is_regressed_mean_itl_ms,request_throughput_req_sec_delta,output_token_throughput_tok_sec_delta,mean_tpot_ms_delta,mean_itl_ms_delta,median_dram_utilization_%,median_dram_bw_KBps,model_load_time(sec),prev_sdk_value,prev_sdk_branch
Jais-adapted-70B,128,128,256,8,8,128,P2P,mx6,76.52,-,-,153.04,-,-,1.74,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-70B-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,132423,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,66.29, 02:06:25,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,NA,NA,NA,00:05:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.795,155184.0,227.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-70B,128,128,256,8,16,128,P2P,mx6,116.65,-,-,233.3,-,-,3.47,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-70B-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,132426,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,58.58, 02:13:35,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,NA,NA,NA,00:05:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.28,155184.0,212.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-70B,128,128,256,8,32,128,P2P,mx6,184.18,-,-,368.36,-,-,6.94,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-70B-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,132429,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,58.62, 02:16:10,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,NA,NA,NA,00:05:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.28,155184.0,214.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-70B,2048,2048,4096,8,1,128,P2P,mx6,11.32,-,-,22.63,-,-,3.75,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-70B-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,132405,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,66.25, 02:10:17,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,NA,NA,NA,00:08:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.77,155184.0,227.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-70B,2048,2048,4096,8,4,128,P2P,mx6,27.23,-,-,54.47,-,-,14.83,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-70B-onnx-precision-mx6-bs-4-mos-default-ols-default-inst-1-bs-4-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,132408,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,66.27, 02:10:53,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,NA,NA,NA,00:10:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.395,24420496.0,226.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-70B,2048,2048,4096,8,8,128,P2P,mx6,64.77,-,-,129.55,-,-,29.8,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-70B-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,132411,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,66.3, 02:10:51,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,NA,NA,NA,00:08:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.445,33761304.0,198.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-70B,2048,2048,4096,8,16,128,P2P,mx6,91.03,-,-,182.06,-,-,60.06,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-70B-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,132414,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,58.6, 02:17:11,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,NA,NA,NA,00:10:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.884999999999998,27545648.0,211.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-70B,2048,2048,4096,8,32,128,P2P,mx6,131.78,-,-,263.56,-,-,120.71,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-70B-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,132417,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,58.68, 02:37:19,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,NA,NA,NA,00:13:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.845,26009912.0,212.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-7b,128,128,256,4,1,128,P2P,mx6,56.45,58.76,-3.93,112.9,117.51,-3.92,0.05,0.05,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-7b-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134421,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,8.87, 00:23:35,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:01:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,155184.0,40.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-7b,128,128,256,4,8,128,P2P,mx6,294.95,298.92,-1.33,589.91,597.85,-1.33,0.34,0.34,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-7b-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134424,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,8.89, 00:26:41,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:01:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,155184.0,30.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-7b,128,128,256,4,16,128,P2P,mx6,401.29,408.5,-1.76,802.58,817.0,-1.76,0.7,0.67,4.48,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-7b-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134427,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,6.94, 00:48:58,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:01:08,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.76,155184.0,29.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-7b,128,128,256,4,32,128,P2P,mx6,575.83,587.31,-1.95,1151.65,1174.62,-1.96,1.4,1.35,3.7,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-7b-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134430,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,6.95, 00:26:20,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:01:02,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.76,155184.0,22.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-7b,2048,2048,4096,4,1,128,P2P,mx6,51.44,51.02,0.82,102.87,102.04,0.81,0.8,0.78,2.56,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-7b-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134406,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,8.88, 00:24:10,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:02:02,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.76,155184.0,43.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
