model,pl,gl,cl,mqts,bs,cpl,configuration,precision,e2e_generated_tok_sec,prev_e2e_generated_tok_sec,e2e_generated_tok_sec_delta,e2e_processed_tok_sec,prev_e2e_processed_tok_sec,e2e_processed_tok_sec_delta,average_ttft(sec),prev_avg_ttft_sec,avg_ttft_sec_delta,tag,config_id,execution_mode,sdk_version,platform,tools,customer_id,model_url,input_size,model_framework,branch,customer,max_nsp,apps_version,platform_version,sdk_id,last_rel_sdk,jira_number,qpc_size_GB,compile_time,cores,curr_decode_tok_sec,curr_prefill_tok_sec,curr_total_tok_sec,curr_tpot_ms,curr_ttft_ms,decode_tok_sec_delta,dfs,host_app,instances,mos,ols,prefill_tok_sec_delta,prev_decode_tok_sec,prev_prefill_tok_sec,prev_total_tok_sec,prev_tpot_ms,prev_ttft_ms,tdp,total_tok_sec_delta,tpot_ms_delta,ttft_ms_delta,system_os,num_cards,status,failure_cause,is_regressed_decode,is_regressed_prefill,is_regressed_total,is_regressed_tpot,is_regressed_ttft,regression_code,avg_latency_sec,prev_avg_latency_sec,avg_latency_sec_delta,is_regressed_e2e_processed_tok_sec,is_regressed_e2e_generated_tok_sec,is_regressed_avg_latency_sec,derated_ttft(sec),derated_decode_tpt(tok/sec),derated_e2e_tpt(tok/sec),execution_time,derated_decode_tpt_per_card(tok/sec),derated_e2e_tpt_per_card(tok/sec),total_token_throughput_tok_sec,mean_ttft_sec,prev_total_token_throughput_sec,prev_mean_ttft_sec,total_token_throughput_sec_delta,mean_ttft_sec_delta,is_regressed_total_token_throughput_sec,is_regressed_mean_ttft_sec,e2e_tok_sec,prev_e2e_tok_sec,e2e_tok_sec_delta,is_regressed_e2e,is_regressed_avg_ttft_sec,request_throughput(req/s),output_token_throughput(tok/s),mean_tpot(ms),mean_itl(ms),prev_request_throughput_req_sec,prev_output_token_throughput_tok_sec,prev_mean_tpot_ms,prev_mean_itl_ms,is_regressed_request_throughput_req_sec,is_regressed_output_token_throughput_tok_sec,is_regressed_mean_tpot_ms,is_regressed_mean_itl_ms,request_throughput_req_sec_delta,output_token_throughput_tok_sec_delta,mean_tpot_ms_delta,mean_itl_ms_delta,median_dram_utilization_%,median_dram_bw_KBps,model_load_time(sec),prev_sdk_value,prev_sdk_branch
Jais-adapted-7b,2048,2048,4096,4,4,128,P2P,mx6,115.19,117.19,-1.71,230.38,234.37,-1.7,3.22,3.06,5.23,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-7b-onnx-precision-mx6-bs-4-mos-default-ols-default-inst-1-bs-4-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134409,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,8.93, 00:25:47,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:02:24,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.76,155184.0,37.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-7b,2048,2048,4096,4,8,128,P2P,mx6,183.47,185.36,-1.02,366.93,370.71,-1.02,6.46,6.18,4.53,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-7b-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134412,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,8.93, 00:28:40,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:02:38,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.76,155184.0,33.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-7b,2048,2048,4096,4,16,128,P2P,mx6,226.74,225.32,0.63,453.49,450.64,0.63,13.05,12.45,4.82,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-7b-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134415,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,7.01, 01:36:53,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:03:24,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.76,155184.0,26.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-7b,2048,2048,4096,4,32,128,P2P,mx6,272.79,276.52,-1.35,545.59,553.03,-1.35,28.65,28.34,1.09,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-7b-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134418,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,7.02, 01:39:13,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:05:08,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.76,155184.0,34.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Llama-3.3-70B-Instruct-FP8-Dynamic,2500,300,2800,16,1,128,P2P,mx6,14.79,10.01,47.75,138.02,93.46,47.68,3.72,13.38,-72.2,"cloud,LLM-KV-cache,1QPC,qnn_release",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-2800-gl-300-pl-2500-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134727,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,114.93, 12:14:05,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:24:33,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,23.36,155184.0,1205.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Llama-3.3-70B-Instruct-FP8-Dynamic,2500,300,2800,16,8,128,P2P,mx6,43.27,43.38,-0.25,403.81,404.86,-0.26,29.47,29.32,0.51,"cloud,LLM-KV-cache,1QPC,qnn_release",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-2800-gl-300-pl-2500-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134730,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,115.03, 15:46:02,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:20:36,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,24.47,155184.0,1022.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Llama-3.3-70B-Instruct-FP8-Dynamic,2500,300,2800,16,16,128,P2P,mx6,53.81,54.35,-0.99,502.25,507.25,-0.99,59.38,58.71,1.14,"cloud,LLM-KV-cache,1QPC,qnn_release",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-2800-gl-300-pl-2500-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134733,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,83.86, 16:08:17,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:16:26,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,21.53,17789552.0,774.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Llama-3.3-70B-Instruct-FP8-Dynamic,2500,300,2800,16,32,128,P2P,mx6,60.71,61.25,-0.88,566.65,571.67,-0.88,120.21,118.51,1.43,"cloud,LLM-KV-cache,1QPC,qnn_release",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-2800-gl-300-pl-2500-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134736,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,84.0, 15:19:52,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:18:08,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,24.34,17568488.0,807.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Llama-3.3-70B-Instruct-FP8-Dynamic,2500,300,2800,16,64,128,P2P,mx6,63.0,63.62,-0.97,587.98,593.8,-0.98,242.96,239.29,1.53,"cloud,LLM-KV-cache,1QPC,qnn_release",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-64-mos-default-ols-default-inst-1-bs-64-cl-2800-gl-300-pl-2500-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134739,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,84.08, 16:49:16,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:19:50,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,29.9,18310248.0,762.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Llama-3.3-70B-Instruct-FP8-Dynamic,2500,300,2800,16,128,128,P2P,mx6,54.53,55.02,-0.89,508.95,513.53,-0.89,491.27,482.73,1.77,"cloud,LLM-KV-cache,1QPC,qnn_release",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-128-mos-default-ols-default-inst-1-bs-128-cl-2800-gl-300-pl-2500-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134742,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,84.37, 16:53:17,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:26:27,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,41.1,18049168.0,759.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Llama-3.3-70B-Instruct-FP8-Dynamic,4096,400,4496,16,1,128,P2P,mx6,14.24,14.39,-1.04,160.04,161.77,-1.07,6.07,5.95,2.02,"cloud,LLM-KV-cache,1QPC,qnn_release",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-4496-gl-400-pl-4096-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134745,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,115.11, 11:08:51,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:18:04,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,23.41,155184.0,897.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Llama-3.3-70B-Instruct-FP8-Dynamic,4096,400,4496,16,8,128,P2P,mx6,37.3,37.54,-0.64,419.28,421.93,-0.63,48.51,47.58,1.95,"cloud,LLM-KV-cache,1QPC,qnn_release",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-4496-gl-400-pl-4096-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134748,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,115.29, 16:39:31,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:17:39,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,23.46,155184.0,810.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Llama-3.3-70B-Instruct-FP8-Dynamic,4096,400,4496,16,16,128,P2P,mx6,45.62,46.31,-1.49,512.8,520.55,-1.49,97.95,96.13,1.89,"cloud,LLM-KV-cache,1QPC,qnn_release",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-4496-gl-400-pl-4096-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134751,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,83.91, 16:43:55,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:17:18,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,23.3,17556776.0,776.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Llama-3.3-70B-Instruct-FP8-Dynamic,4096,400,4496,16,32,128,P2P,mx6,50.97,51.66,-1.34,572.87,580.71,-1.35,197.53,194.15,1.74,"cloud,LLM-KV-cache,1QPC,qnn_release",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-4496-gl-400-pl-4096-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134754,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,84.02, 16:35:07,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:19:21,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,27.72,17686096.0,787.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Llama-3.3-70B-Instruct-FP8-Dynamic,4096,400,4496,16,64,128,P2P,mx6,51.98,52.72,-1.4,584.22,592.62,-1.42,398.67,392.73,1.51,"cloud,LLM-KV-cache,1QPC,qnn_release",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-64-mos-default-ols-default-inst-1-bs-64-cl-4496-gl-400-pl-4096-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134757,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,84.23, 16:52:46,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:23:10,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,36.67,17897400.0,774.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Llama-3.3-70B-Instruct-FP8-Dynamic,4096,400,4496,16,128,128,P2P,mx6,45.96,46.31,-0.76,516.57,520.49,-0.75,806.63,795.21,1.44,"cloud,LLM-KV-cache,1QPC,qnn_release",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-128-mos-default-ols-default-inst-1-bs-128-cl-4496-gl-400-pl-4096-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134760,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,84.65, 16:55:58,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:33:20,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,54.6,17649008.0,759.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Llama-3.3-70B-Instruct-FP8-Dynamic,5000,300,5300,16,1,128,P2P,mx6,12.27,12.42,-1.21,216.73,219.41,-1.22,7.62,7.49,1.74,"cloud,LLM-KV-cache,1QPC,qnn_release",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-5300-gl-300-pl-5000-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134763,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,115.18, 15:32:59,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:16:59,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,23.41,155184.0,835.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Llama-3.3-70B-Instruct-FP8-Dynamic,5000,300,5300,16,8,128,P2P,mx6,27.73,28.01,-1.0,489.84,494.84,-1.01,60.95,59.85,1.84,"cloud,LLM-KV-cache,1QPC,qnn_release",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-5300-gl-300-pl-5000-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134766,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,115.27, 15:25:57,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:18:57,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,23.41,155184.0,890.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Llama-3.3-70B-Instruct-FP8-Dynamic,5000,300,5300,16,16,128,P2P,mx6,30.62,30.96,-1.1,540.95,546.94,-1.1,123.12,121.09,1.68,"cloud,LLM-KV-cache,1QPC,qnn_release",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-5300-gl-300-pl-5000-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134769,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,83.89, 16:44:49,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:17:44,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,24.07,17391344.0,784.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Llama-3.3-70B-Instruct-FP8-Dynamic,5000,300,5300,16,32,128,P2P,mx6,32.83,33.21,-1.14,580.0,586.76,-1.15,247.41,243.99,1.4,"cloud,LLM-KV-cache,1QPC,qnn_release",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-5300-gl-300-pl-5000-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134772,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,83.99, 15:33:50,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:20:54,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,29.29,17209808.0,839.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Llama-3.3-70B-Instruct-FP8-Dynamic,5000,300,5300,16,64,128,P2P,mx6,33.34,33.54,-0.6,588.94,592.56,-0.61,498.93,493.04,1.19,"cloud,LLM-KV-cache,1QPC,qnn_release",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-64-mos-default-ols-default-inst-1-bs-64-cl-5300-gl-300-pl-5000-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134775,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,84.17, 16:51:03,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:25:03,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,39.8,17893008.0,804.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Llama-3.3-70B-Instruct-FP8-Dynamic,5000,300,5300,16,128,128,P2P,mx6,30.24,30.55,-1.01,534.17,539.74,-1.03,1012.87,998.94,1.39,"cloud,LLM-KV-cache,1QPC,qnn_release",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-128-mos-default-ols-default-inst-1-bs-128-cl-5300-gl-300-pl-5000-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134778,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,84.54, 16:54:19,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:36:46,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,60.89,17567512.0,811.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Llama-3.3-70B-Instruct-FP8-Dynamic,10000,300,10300,16,1,128,P2P,mx6,8.51,8.56,-0.58,292.09,293.92,-0.62,15.95,15.8,0.95,"cloud,LLM-KV-cache,1QPC,qnn_release",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-10300-gl-300-pl-10000-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134781,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,115.19, 15:17:13,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:18:04,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,23.41,155184.0,890.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
