model,pl,gl,cl,mqts,bs,cpl,configuration,precision,output_token_throughput(tok/s),prev_output_token_throughput_tok_sec,output_token_throughput_tok_sec_delta,mean_ttft_sec,prev_mean_ttft_sec,mean_ttft_sec_delta,request_throughput(req/s),prev_request_throughput_req_sec,request_throughput_req_sec_delta,tag,config_id,execution_mode,sdk_version,platform,tools,customer_id,model_url,input_size,model_framework,branch,customer,max_nsp,apps_version,platform_version,sdk_id,last_rel_sdk,jira_number,qpc_size_GB,compile_time,cores,curr_decode_tok_sec,curr_prefill_tok_sec,curr_total_tok_sec,curr_tpot_ms,curr_ttft_ms,decode_tok_sec_delta,dfs,host_app,instances,mos,ols,prefill_tok_sec_delta,prev_decode_tok_sec,prev_prefill_tok_sec,prev_total_tok_sec,prev_tpot_ms,prev_ttft_ms,tdp,total_tok_sec_delta,tpot_ms_delta,ttft_ms_delta,system_os,num_cards,status,failure_cause,is_regressed_decode,is_regressed_prefill,is_regressed_total,is_regressed_tpot,is_regressed_ttft,regression_code,avg_latency_sec,e2e_processed_tok_sec,e2e_generated_tok_sec,prev_e2e_processed_tok_sec,prev_e2e_generated_tok_sec,prev_avg_latency_sec,e2e_processed_tok_sec_delta,e2e_generated_tok_sec_delta,avg_latency_sec_delta,is_regressed_e2e_processed_tok_sec,is_regressed_e2e_generated_tok_sec,is_regressed_avg_latency_sec,derated_ttft(sec),derated_decode_tpt(tok/sec),derated_e2e_tpt(tok/sec),execution_time,derated_decode_tpt_per_card(tok/sec),derated_e2e_tpt_per_card(tok/sec),total_token_throughput_tok_sec,prev_total_token_throughput_sec,total_token_throughput_sec_delta,is_regressed_total_token_throughput_sec,is_regressed_mean_ttft_sec,e2e_tok_sec,prev_e2e_tok_sec,e2e_tok_sec_delta,is_regressed_e2e,average_ttft(sec),prev_avg_ttft_sec,avg_ttft_sec_delta,is_regressed_avg_ttft_sec,mean_tpot(ms),mean_itl(ms),prev_mean_tpot_ms,prev_mean_itl_ms,is_regressed_request_throughput_req_sec,is_regressed_output_token_throughput_tok_sec,is_regressed_mean_tpot_ms,is_regressed_mean_itl_ms,mean_tpot_ms_delta,mean_itl_ms_delta,median_dram_utilization_%,median_dram_bw_KBps,model_load_time(sec),prev_sdk_value,prev_sdk_branch,prev_total_token_throughput_tok_sec,total_token_throughput_tok_sec_delta,is_regressed_total_token_throughput_sec_delta,is_regressed_mean_ttft_sec_delta
Jais-adapted-7b,128,128,256,4,32,128,P2P,mx6,551.35,544.01,1.35,1.34,1.47,-8.84,4.31,4.25,1.41,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-7b-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,136689,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,6.95, 00:26:20,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:00:26,,,1102.7,,,None,None,,,,,,,,,47.79,47.79,47.56,47.56,0.0,0,0,0,0.48,0.48,0.76,155184.0,11.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,1088.02,1.35,0,0.0
Jais-adapted-7b,2048,2048,4096,4,1,128,P2P,mx6,50.15,49.95,0.4,0.83,0.81,2.47,0.02,0.02,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-7b-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,136692,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,8.88, 00:24:10,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:02:09,,,100.31,,,None,None,,,,,,,,,19.54,19.54,19.64,19.64,,0,0,0,-0.51,-0.51,0.76,155184.0,11.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,99.89,0.42,0,0.0
Jais-adapted-7b,2048,2048,4096,4,4,128,P2P,mx6,112.78,111.5,1.15,2.67,2.61,2.3,0.06,0.05,20.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-7b-onnx-precision-mx6-bs-4-mos-default-ols-default-inst-1-bs-4-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,136695,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,8.93, 00:25:47,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:03:32,,,225.57,,,None,None,,,,,,,,,34.18,34.18,34.61,34.61,0.0,0,0,0,-1.24,-1.24,0.76,155184.0,12.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,223.01,1.15,0,0.0
Jais-adapted-7b,2048,2048,4096,4,8,128,P2P,mx6,178.85,177.41,0.81,5.86,5.74,2.09,0.09,0.09,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-7b-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,136698,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,8.93, 00:28:40,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:04:04,,,357.69,,,None,None,,,,,,,,,41.88,41.88,42.31,42.31,,0,0,0,-1.02,-1.02,0.76,155184.0,12.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,354.81,0.81,0,0.0
Jais-adapted-7b,2048,2048,4096,4,16,128,P2P,mx6,218.52,220.38,-0.84,12.53,12.23,2.45,0.11,0.11,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-7b-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,136701,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,7.01, 01:36:53,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:06:17,,,437.05,,,None,None,,,,,,,,,67.13,67.13,66.66,66.66,,0,0,0,0.71,0.71,0.76,155184.0,11.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,440.76,-0.84,0,0.0
Jais-adapted-7b,2048,2048,4096,4,32,128,P2P,mx6,270.04,254.54,6.09,28.51,28.7,-0.66,0.13,0.12,8.33,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-7b-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,136704,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,7.02, 01:39:13,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:09:43,,,540.07,,,None,None,,,,,,,,,104.62,104.62,111.75,111.75,0.0,0,0,0,-6.38,-6.38,0.76,155184.0,11.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,509.08,6.09,0,0.0
Llama-3.3-70B-Instruct-FP8-Dynamic,2500,300,2800,16,1,128,P2P,mx6,14.68,14.04,4.56,3.71,3.76,-1.33,0.05,0.05,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-2800-gl-300-pl-2500-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,134970,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,114.93, 12:14:05,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:01:07,,,136.98,,,None,None,,,,,,,,,55.96,55.96,58.9,58.9,,0,0,0,-4.99,-4.99,24.97,60721352.0,762.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,131.04,4.53,0,0.0
Llama-3.3-70B-Instruct-FP8-Dynamic,2500,300,2800,16,8,128,P2P,mx6,42.97,42.13,1.99,26.33,26.61,-1.05,0.14,0.14,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-2800-gl-300-pl-2500-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,134973,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,115.03, 15:46:02,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:02:27,,,401.05,,,None,None,,,,,,,,,98.71,98.71,101.52,101.52,,0,0,0,-2.77,-2.77,26.2,19658592.0,833.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,393.21,1.99,0,0.0
Llama-3.3-70B-Instruct-FP8-Dynamic,2500,300,2800,16,16,128,P2P,mx6,53.51,52.47,1.98,56.05,56.32,-0.48,0.18,0.17,5.88,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-2800-gl-300-pl-2500-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,134976,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,83.86, 16:08:17,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:03:37,,,499.47,,,None,None,,,,,,,,,112.47,112.47,117.57,117.57,0.0,0,0,0,-4.34,-4.34,21.53,19382872.0,828.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,489.71,1.99,0,0.0
Llama-3.3-70B-Instruct-FP8-Dynamic,2500,300,2800,16,32,128,P2P,mx6,60.41,59.87,0.9,116.56,117.36,-0.68,0.2,0.2,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-2800-gl-300-pl-2500-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,134979,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,84.0, 15:19:52,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:06:02,,,563.85,,,None,None,,,,,,,,,141.57,141.57,143.65,143.65,,0,0,0,-1.45,-1.45,24.34,18913416.0,807.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,558.83,0.9,0,0.0
Llama-3.3-70B-Instruct-FP8-Dynamic,2500,300,2800,16,64,128,P2P,mx6,62.1,61.01,1.79,237.7,240.59,-1.2,0.21,0.2,5.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-64-mos-default-ols-default-inst-1-bs-64-cl-2800-gl-300-pl-2500-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,134982,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,84.08, 16:49:16,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:11:22,,,579.63,,,None,None,,,,,,,,,238.85,238.85,247.77,247.77,0.0,0,0,0,-3.6,-3.6,29.9,18888528.0,790.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,569.4,1.8,0,0.0
Llama-3.3-70B-Instruct-FP8-Dynamic,2500,300,2800,16,128,128,P2P,mx6,57.84,55.72,3.8,487.8,496.62,-1.78,0.19,0.19,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-128-mos-default-ols-default-inst-1-bs-128-cl-2800-gl-300-pl-2500-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,134985,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,84.37, 16:53:17,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:23:59,,,539.88,,,None,None,,,,,,,,,428.06,428.06,469.9,469.9,,0,0,0,-8.9,-8.9,41.1,18062344.0,826.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,520.06,3.81,0,0.0
Llama-3.3-70B-Instruct-FP8-Dynamic,4096,400,4496,16,1,128,P2P,mx6,14.12,13.3,6.17,6.08,6.14,-0.98,0.04,0.03,33.33,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-4496-gl-400-pl-4096-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,134988,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,115.11, 11:08:51,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:01:31,,,158.7,,,None,None,,,,,,,,,55.76,55.76,60.0,60.0,0.0,0,0,0,-7.07,-7.07,25.09,62601128.0,848.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,149.46,6.18,0,0.0
Llama-3.3-70B-Instruct-FP8-Dynamic,4096,400,4496,16,8,128,P2P,mx6,37.1,36.27,2.29,43.16,43.54,-0.87,0.09,0.09,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-4496-gl-400-pl-4096-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,134991,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,115.29, 16:39:31,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:03:41,,,417.05,,,None,None,,,,,,,,,107.96,107.96,111.95,111.95,,0,0,0,-3.56,-3.56,27.14,26364200.0,858.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,407.73,2.29,0,0.0
Llama-3.3-70B-Instruct-FP8-Dynamic,4096,400,4496,16,16,128,P2P,mx6,45.44,44.98,1.02,92.11,92.71,-0.65,0.11,0.11,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-4496-gl-400-pl-4096-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,134994,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,83.91, 16:43:55,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:05:32,,,510.76,,,None,None,,,,,,,,,122.08,122.08,124.24,124.24,,0,0,0,-1.74,-1.74,23.3,18835824.0,925.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,505.53,1.03,0,0.0
Llama-3.3-70B-Instruct-FP8-Dynamic,4096,400,4496,16,32,128,P2P,mx6,50.71,49.9,1.62,191.74,193.2,-0.76,0.13,0.12,8.33,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-4496-gl-400-pl-4096-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,134997,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,84.02, 16:35:07,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:09:22,,,569.98,,,None,None,,,,,,,,,152.0,152.0,158.59,158.59,0.0,0,0,0,-4.16,-4.16,27.72,18505936.0,792.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,560.88,1.62,0,0.0
Llama-3.3-70B-Instruct-FP8-Dynamic,4096,400,4496,16,64,128,P2P,mx6,52.06,51.21,1.66,389.34,395.15,-1.47,0.13,0.13,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-64-mos-default-ols-default-inst-1-bs-64-cl-4496-gl-400-pl-4096-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,135000,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,84.23, 16:52:46,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:17:50,,,585.16,,,None,None,,,,,,,,,256.49,256.49,262.5,262.5,,0,0,0,-2.29,-2.29,36.67,18271696.0,856.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,575.56,1.67,0,0.0
Llama-3.3-70B-Instruct-FP8-Dynamic,4096,400,4496,16,128,128,P2P,mx6,48.39,46.95,3.07,799.65,812.33,-1.56,0.12,0.12,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-128-mos-default-ols-default-inst-1-bs-128-cl-4496-gl-400-pl-4096-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,135003,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,84.65, 16:55:58,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:37:49,,,543.92,,,None,None,,,,,,,,,482.07,482.07,518.82,518.82,,0,0,0,-7.08,-7.08,54.6,17810048.0,781.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,527.76,3.06,0,0.0
Llama-3.3-70B-Instruct-FP8-Dynamic,5000,300,5300,16,1,128,P2P,mx6,12.19,11.63,4.82,7.62,7.71,-1.17,0.04,0.04,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-5300-gl-300-pl-5000-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,135006,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,115.18, 15:32:59,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:01:20,,,215.37,,,None,None,,,,,,,,,56.82,56.82,60.44,60.44,,0,0,0,-5.99,-5.99,25.14,61525576.0,816.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,205.54,4.78,0,0.0
Llama-3.3-70B-Instruct-FP8-Dynamic,5000,300,5300,16,8,128,P2P,mx6,27.63,26.99,2.37,54.31,54.51,-0.37,0.09,0.09,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-5300-gl-300-pl-5000-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,135009,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,115.27, 15:25:57,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:03:33,,,488.16,,,None,None,,,,,,,,,108.84,108.84,115.05,115.05,,0,0,0,-5.4,-5.4,27.48,18798248.0,877.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,476.85,2.37,0,0.0
Llama-3.3-70B-Instruct-FP8-Dynamic,5000,300,5300,16,16,128,P2P,mx6,30.49,30.22,0.89,115.86,116.77,-0.78,0.1,0.1,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-5300-gl-300-pl-5000-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,135012,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,83.89, 16:44:49,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:06:00,,,538.64,,,None,None,,,,,,,,,139.0,139.0,140.68,140.68,,0,0,0,-1.19,-1.19,24.07,18668440.0,816.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,533.86,0.9,0,0.0
Llama-3.3-70B-Instruct-FP8-Dynamic,5000,300,5300,16,32,128,P2P,mx6,32.82,32.17,2.02,239.74,244.04,-1.76,0.11,0.11,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Llama-3.3-70B-Instruct-FP8-Dynamic-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-5300-gl-300-pl-5000-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,135015,https://huggingface.co/Infermatic/Llama-3.3-70B-Instruct-FP8-Dynamic,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,83.99, 15:33:50,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:10:38,,,579.9,,,None,None,,,,,,,,,176.25,176.25,181.93,181.93,,0,0,0,-3.12,-3.12,29.29,18316592.0,775.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,568.25,2.05,0,0.0
